timer,hart,hart_rolling_mean
493.214014268,519.269117093,519.810399159
494.068804587,520.937153922,519.891290955
494.923594906,522.652038912,519.993256605
495.778385226,524.380392263,520.116198007
496.633175545,526.089026683,520.259625646
497.487965864,527.745732123,520.422687831
498.342756184,529.320043511,520.604213935
499.197546503,530.7839589,520.802769712
500.052336822,532.11257393,521.016721083
500.907127142,533.284614444,521.244301877
501.761917461,534.282851191,521.483680657
502.616707781,535.094372657,521.733022011
503.4714981,535.710703978,521.990538595
504.326288419,536.127780713,522.254531444
505.181078739,536.345792634,522.523417199
506.035869058,536.368910268,522.795741916
506.890659377,536.20491117,523.070182048
507.745449697,535.864731103,523.34553408
508.600240016,535.36196198,523.620694709
509.455030335,534.712312259,523.894633657
510.309820655,533.933056509,524.166361471
511.164610974,533.042507693,524.434894911
512.019401293,532.059528056,524.699222394
512.874191613,531.003080764,524.958271556
513.728981932,529.891827591,525.21088061
514.583772251,528.743776162,525.455774968
515.438562571,527.575970943,525.691550486
516.29335289,526.404221966,525.916664554
517.14814321,525.242874319,526.129436087
518.002933529,524.104626917,526.328055172
518.857723848,523.000410617,526.510602622
519.712514168,521.939333493,526.675079269
520.567304487,520.928690691,526.819444423
521.422094806,519.974026002,526.941662354
522.276885126,519.079229283,527.039754919
523.131675445,518.246660503,527.11185794
523.986465764,517.477302434,527.15627894
524.841256084,516.770941996,527.17155394
525.696046403,516.126365289,527.156500866
526.550836722,515.541549143,527.110267126
527.405627042,515.013846063,527.032369299
528.260417361,514.540164286,526.922723462
529.115207681,514.11713766,526.781665237
529.969998,513.741282485,526.609959273
530.824788319,513.409139137,526.408798422
531.679578639,513.117380335,526.179792835
532.534368958,512.862867965,525.924949102
533.389159277,512.642669722,525.646639887
534.243949597,512.454062116,525.347565135
535.098739916,512.294529045,525.030706041
535.953530235,512.161754417,524.699273016
536.808320555,512.053620406,524.356649148
537.663110874,511.968222803,524.006330952
538.517901193,511.903891723,523.651867993
539.372691513,511.859200509,523.296802729
540.227481832,511.832961215,522.944611864
541.082272151,511.82420754,522.598650467
541.937062471,511.832163408,522.262099932
542.79185279,511.856203835,521.937920705
543.64664311,511.895815427,521.628810694
544.501433429,511.950552736,521.337169994
545.356223748,512.019984296,521.065072196
546.211014068,512.103629991,520.814242347
547.065804387,512.200897641,520.58604157
547.920594706,512.311027961,520.381458145
548.775385026,512.433053928,520.201104447
549.630175345,512.565777995,520.045219083
550.484965664,512.707770771,519.913673647
551.339755984,512.857385574,519.805983207
552.194546303,513.012769848,519.72131926
553.049336622,513.171861474,519.658524025
553.904126942,513.332376845,519.616125717
554.758917261,513.491801635,519.592355116
555.613707581,513.64739704,519.585164357
556.4684979,513.796243225,519.592249405
557.323288219,513.935331246,519.611077755
558.178078539,514.061689989,519.638922371
559.032868858,514.172525865,519.672902191
559.887659177,514.265361877,519.710029046
560.742449497,514.33817813,519.747260536
561.597239816,514.389553408,519.781557908
562.452030135,514.418781402,519.809947141
563.306820455,514.425931429,519.829580877
564.161610774,514.411850123,519.837798843
565.016401093,514.378110912,519.832184464
565.871191413,514.326914851,519.810615625
566.725981732,514.260959986,519.77130805
567.580772051,514.183303323,519.712850421
568.435562371,514.09722135,519.634230506
569.29035269,514.006067477,519.534851524
570.14514301,513.913141075,519.414538292
570.999933329,513.821590103,519.273533274
571.854723648,513.734352368,519.112482932
572.709513968,513.654123249,518.932414883
573.564304287,513.583340554,518.734706626
574.419094606,513.524183884,518.52104697
575.273884926,513.478581535,518.29339142
576.128675245,513.448217687,518.053912874
576.983465564,513.434541919,517.804949302
577.838255884,513.438786626,517.548950252
578.693046203,513.461992065,517.288423946
579.547836522,513.505033748,517.025886487
580.402626842,513.568650652,516.763814538
581.257417161,513.653476344,516.504602643
582.11220748,513.76006839,516.25052606
582.9669978,513.888924107,516.003709533
583.821788119,514.040473581,515.766102192
584.676578439,514.215048011,515.539458416
585.531368758,514.412826445,515.325324149
586.386159077,514.6337684,515.125028061
587.240949397,514.877542333,514.939677044
588.095739716,515.143457628,514.77015555
588.950530035,515.430403565,514.617128279
589.805320355,515.73679905,514.481045844
590.660110674,516.060559036,514.362153166
591.514900993,516.399078825,514.260500345
592.369691313,516.749230899,514.175955563
593.224481632,517.107367155,514.108219431
594.079271951,517.469318754,514.056839951
594.934062271,517.83038816,514.021227278
595.78885259,518.185337731,514.000667643
596.64364291,518.528381957,513.994336065
597.498433229,518.853164076,514.00130737
598.353223548,519.152662415,514.020564381
599.208013868,519.41899334,514.051001753
600.062804187,519.643166987,514.091424761
600.917594506,519.814917517,514.140543938
601.772384826,519.922706424,514.19696762
602.627175145,519.953934061,514.259194859
603.481965464,519.89534884,514.325611079
604.336755784,519.733610435,514.394488412
605.191546103,519.455948541,514.463991969
606.046336422,519.050890658,514.532193237
606.901126742,518.509067958,514.597092087
607.755917061,517.824069589,514.656648407
608.61070738,516.99322748,514.708822722
609.4654977,516.018188079,514.751623401
610.320288019,514.905194379,514.783157193
611.175078339,513.66506928,514.801679594
612.029868658,512.312915304,514.805641577
612.884658977,510.867569437,514.793729826
613.739449297,509.350877127,514.764898523
614.594239616,507.786852288,514.718391524
615.449029935,506.200790048,514.653754541
616.303820255,504.618402907,514.570837754
617.158610574,503.065040169,514.469789896
618.013400893,501.565020211,514.351045123
618.868191213,500.14106974,514.215303939
619.722981532,498.813847754,514.063509266
620.577771851,497.601533641,513.896818504
621.432562171,496.519457865,513.71657207
622.28735249,495.579774528,513.524258812
623.14214281,494.791229485,513.32147922
623.996933129,494.159096319,513.109908167
624.851723448,493.685307107,512.891259159
625.706513768,493.368759668,512.667251965
626.561304087,493.205770863,512.43958531
627.416094406,493.190639282,512.209916089
628.270884726,493.316264632,511.979845834
629.125675045,493.574760167,511.750914323
629.980465364,493.957997123,511.524599381
630.835255684,494.458027485,511.302321039
631.690046003,495.067350761,511.0854477
632.544836322,495.779026575,510.875302144
633.399626642,496.58666166,510.673165774
634.254416961,497.484305307,510.480280066
635.10920728,498.466287094,510.297844537
635.9639976,499.527032169,510.127010959
636.818787919,500.660884817,509.968874217
637.673578239,501.861948253,509.824460617
638.528368558,503.12390899,509.694714167
639.383158877,504.439783256,509.580480516
640.237949197,505.801528356,509.482487568
641.092739516,507.199519607,509.401321587
641.947529835,508.62199124,509.337398459
642.802320155,510.054601084,509.29093156
643.657110474,511.480242448,509.261899088
644.511900793,512.879152305,509.25001416
645.366691113,514.229329314,509.254700817
646.221481432,515.507245802,509.275078903
647.076271751,516.688781292,509.30996003
647.931062071,517.750274252,509.357855819
648.78585239,518.66961279,509.41699868
649.64064271,519.427310529,509.485374876
650.495433029,520.007503568,509.560768966
651.350223348,520.398794436,509.640817846
652.205013668,520.59488825,509.723071887
653.059803987,520.594990627,509.805060377
653.914594306,520.403951016,509.884358276
654.769384626,520.032149737,509.958651369
655.624174945,519.495144414,510.025796979
